ID_Registro,Data_Manutencao,Numero_OS,Maquina,Setor,Fabricante,Tipo_Manutencao,Tecnico,Especialidade,Hora_Inicio,Hora_Fim,Horas_Parada,Custo_Manutencao,Peca_Utilizada,Quantidade_Pecas,Causa_Falha,Status_OS,Observacao
1,2025-04-26,OS-1001,Prensa Hidraulica,Montagem ,Bosch,Preventiva,,Mecânico,10.1,9.9,-17.7,-701.11,Bomba,3,Falha elétrica,Aberta,
2,17-02-2025,OS-1002,Prensa Hidraulica,Montagem ,Siemens,Preditiva,,Automação,1.6,16.8,-17.2,-11805.37,Bomba,7,Falha elétrica,Concluída,
3,03/02/2025,OS-1003,Torno C N C,Montagem ,WEG,Preditiva,,Automação,14.1,15.9,-8.0,-9588.87,Filtro,8,Lubrificação,Em andamento,
4,29-04-2025,OS-1004,Torno C N C,Usin.,Schneider,Preditiva,,Automação,16.9,18.0,-3.4,-6849.24,Sensor,9,Falha mecânica,Em andamento,
5,06-02-2025,OS-1005,Prensa Hidraulica,Usin.,Siemens,Preditiva,,Mecânico,1.0,6.5,-7.6,-12967.13,Sensor,4,Falha mecânica,Concluída,
6,01-02-2025,OS-1006,Torno C N C,Usin.,Bosch,Corretiva,,Automação,8.7,15.1,-6.0,-3489.14,Rolamento,1,Lubrificação,Aberta,
7,2025-02-24,OS-1007,Prensa Hidraulica,Montagem ,Schneider,Preventiva,,Automação,5.7,16.5,-14.0,-6187.44,Bomba,1,Lubrificação,Em andamento,
8,2025-05-29,OS-1008,TornoCNC,Usin.,Bosch,Corretiva,,Mecânico,10.2,10.2,-12.0,-2551.49,Correia,3,Erro operador,Concluída,
9,06-04-2025,OS-1009,Prensa Hidraulica,Usin.,Schneider,Corretiva,,Eletricista,10.1,17.4,-2.1,-4107.68,Bomba,3,Desgaste,Aberta,
10,24/06/2025,OS-1010,Torno C N C,Usin.,WEG,Corretiva,,Automação,1.8,4.8,-2.5,-8571.51,Filtro,2,Falha elétrica,Em andamento,
11,2025-05-25,OS-1011,TornoCNC,Usin.,Siemens,Preditiva,,Mecânico,15.0,8.1,-4.1,-12110.19,Filtro,1,Erro operador,Em andamento,
12,08-02-2025,OS-1012,Prensa Hidraulica,Montagem ,Bosch,Preventiva,,Automação,19.6,8.7,-16.5,-8715.27,CLP,7,Falha mecânica,Concluída,
13,11-03-2025,OS-1013,Torno C N C,Usin.,Fanuc,Preventiva,,Mecânico,18.2,10.3,-8.0,-1423.19,Bomba,10,Desgaste,Em andamento,
14,2025-04-02,OS-1014,Torno C N C,Usin.,Bosch,Corretiva,,Eletricista,8.0,17.5,-3.5,-1974.51,Filtro,3,Falha mecânica,Concluída,
15,04/01/2025,OS-1015,Prensa Hidraulica,Usin.,Schneider,Preventiva,,Eletricista,13.0,7.6,-16.9,-1809.7,Rolamento,10,Falha mecânica,Concluída,
16,07/02/2025,OS-1016,TornoCNC,Montagem ,Siemens,Corretiva,,Mecânico,19.2,14.2,-6.8,-8621.91,Rolamento,9,Falha mecânica,Aberta,
17,2025-01-03,OS-1017,Prensa Hidraulica,Usin.,Siemens,Preventiva,,Mecânico,13.8,19.7,-19.4,-4634.9,Motor,10,Falha mecânica,Aberta,
18,2025-05-09,OS-1018,Prensa Hidraulica,Usin.,Fanuc,Preventiva,,Eletricista,9.2,18.4,-10.4,-4807.29,Correia,10,Falha elétrica,Concluída,
19,12-01-2025,OS-1019,Prensa Hidraulica,Usin.,Bosch,Corretiva,,Mecânico,14.2,18.3,-16.1,-1252.64,Válvula,9,Falha elétrica,Em andamento,
20,06/04/2025,OS-1020,Torno C N C,Usin.,Fanuc,Preventiva,,Mecânico,12.7,4.1,-1.0,-7618.99,Bomba,9,Falha elétrica,Aberta,
21,06-05-2025,OS-1021,Torno C N C,Montagem ,Siemens,Preventiva,,Mecânico,5.0,19.4,-4.3,-8166.03,Correia,1,Falha elétrica,Concluída,
22,01-02-2025,OS-1022,TornoCNC,Montagem ,WEG,Preditiva,,Mecânico,4.8,17.1,-18.4,-14558.85,CLP,3,Lubrificação,Em andamento,
23,05/03/2025,OS-1023,TornoCNC,Montagem ,Fanuc,Preventiva,,Mecânico,9.5,13.2,-2.5,-12373.78,Sensor,7,Desgaste,Em andamento,
24,2025-05-12,OS-1024,Prensa Hidraulica,Montagem ,Siemens,Corretiva,,Automação,10.0,10.4,-1.9,-7059.37,Motor,4,Falha mecânica,Aberta,
25,18-06-2025,OS-1025,Prensa Hidraulica,Usin.,Schneider,Corretiva,,Automação,14.2,3.6,-13.1,-4251.51,CLP,8,Falha mecânica,Concluída,
26,06-03-2025,OS-1026,TornoCNC,Usin.,Schneider,Corretiva,,Eletricista,10.6,15.0,-16.8,-10425.5,Filtro,3,Desgaste,Aberta,
27,15/03/2025,OS-1027,Torno C N C,Usin.,WEG,Preventiva,,Automação,8.5,3.3,-8.7,-13434.61,Bomba,10,Falha mecânica,Aberta,
28,24-06-2025,OS-1028,Torno C N C,Usin.,Fanuc,Corretiva,,Automação,5.8,9.8,-5.9,-5395.57,Bomba,5,Falha mecânica,Concluída,
29,18-02-2025,OS-1029,TornoCNC,Usin.,Bosch,Corretiva,,Eletricista,7.9,1.4,-23.1,-4436.93,CLP,3,Falha mecânica,Em andamento,
30,13-06-2025,OS-1030,Prensa Hidraulica,Usin.,Bosch,Preditiva,,Mecânico,17.5,10.5,-13.9,-6884.45,Bomba,7,Falha mecânica,Concluída,
31,2025-05-06,OS-1031,Fresadora CNC,Usin.,Bosch,Preventiva,,Eletricista,20.0,6.4,-13.8,-2938.37,Válvula,3,Desgaste,Concluída,
32,16/06/2025,OS-1032,Compressor,Usin.,Bosch,Preditiva,,Mecânico,6.6,18.8,-23.4,-3515.95,Rolamento,1,Erro operador,Em andamento,
33,15/03/2025,OS-1033,Esteira,Usin.,Bosch,Preventiva,,Eletricista,13.3,3.9,-13.7,-3257.71,Motor,4,Lubrificação,Concluída,
34,10-06-2025,OS-1034,Soldadora Robotizada,Montagem ,Siemens,Preventiva,,Eletricista,6.9,6.9,-4.5,-10930.88,Sensor,2,Falha elétrica,Concluída,
